scenario_name,game_name,run_profile,model_mode,condition_id,condition_label,agent_1_type,agent_2_type,personality_1,intensity_1,fixed_strategy_1,personality_2,intensity_2,fixed_strategy_2,episodes_n,total_payoff_1_mean,total_payoff_1_std,total_payoff_1_median,total_payoff_2_mean,total_payoff_2_std,total_payoff_2_median,pair_total_payoff_mean,pair_total_payoff_std,pair_total_payoff_median,avg_payoff_1_mean,avg_payoff_1_std,avg_payoff_1_median,avg_payoff_2_mean,avg_payoff_2_std,avg_payoff_2_median,avg_pair_payoff_mean,avg_pair_payoff_std,avg_pair_payoff_median,mean_overall_state_1_mean,mean_overall_state_1_std,mean_overall_state_1_median,mean_overall_state_2_mean,mean_overall_state_2_std,mean_overall_state_2_median,final_overall_state_1_mean,final_overall_state_1_std,final_overall_state_1_median,final_overall_state_2_mean,final_overall_state_2_std,final_overall_state_2_median,negative_state_share_1_mean,negative_state_share_1_std,negative_state_share_1_median,negative_state_share_2_mean,negative_state_share_2_std,negative_state_share_2_median,pd_cooperation_rate_1_mean,pd_cooperation_rate_1_std,pd_cooperation_rate_1_median,pd_cooperation_rate_2_mean,pd_cooperation_rate_2_std,pd_cooperation_rate_2_median,pd_mutual_cooperation_rate_mean,pd_mutual_cooperation_rate_std,pd_mutual_cooperation_rate_median,pd_unilateral_exploitation_rate_mean,pd_unilateral_exploitation_rate_std,pd_unilateral_exploitation_rate_median,pd_mutual_defection_rate_mean,pd_mutual_defection_rate_std,pd_mutual_defection_rate_median,pd_recovery_after_defection_proxy_mean,pd_recovery_after_defection_proxy_std,pd_recovery_after_defection_proxy_median,bos_agreement_rate_mean,bos_agreement_rate_std,bos_agreement_rate_median,bos_coordination_streak_mean_mean,bos_coordination_streak_mean_std,bos_coordination_streak_mean_median,bos_coordination_streak_max_mean,bos_coordination_streak_max_std,bos_coordination_streak_max_median,bos_coordination_imbalance_mean,bos_coordination_imbalance_std,bos_coordination_imbalance_median,bos_fair_turn_taking_index_mean,bos_fair_turn_taking_index_std,bos_fair_turn_taking_index_median,ug_acceptance_rate_mean,ug_acceptance_rate_std,ug_acceptance_rate_median,ug_mean_offer_mean,ug_mean_offer_std,ug_mean_offer_median,ug_offer_std_mean,ug_offer_std_std,ug_offer_std_median,ug_fair_offer_rate_mean,ug_fair_offer_rate_std,ug_fair_offer_rate_median,ug_proposer_responder_inequality_mean,ug_proposer_responder_inequality_std,ug_proposer_responder_inequality_median
S1,Prisoners Dilemma,paper,integrated_model,S1_011_Prisoners_Dilemma_emotional-neutral-neutral__emotional-neutral-neutral,emotional-neutral-neutral__vs__emotional-neutral-neutral,emotional,emotional,neutral,neutral,,neutral,neutral,,20,600.0,0.0,600.0,600.0,0.0,600.0,1200.0,0.0,1200.0,3.0,0.0,3.0,3.0,0.0,3.0,6.0,0.0,6.0,0.28061322565857466,0.0,0.28061322565857466,0.28061322565857466,0.0,0.28061322565857466,0.30001430864824263,0.0,0.30001430864824263,0.30001430864824263,0.0,0.30001430864824263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,Prisoners Dilemma,paper,integrated_model,S1_012_Prisoners_Dilemma_emotional-neutral-neutral__fixed-tit_for_tat,emotional-neutral-neutral__vs__fixed-tit_for_tat,emotional,fixed_strategy,neutral,neutral,,neutral,neutral,tit_for_tat,20,600.0,0.0,600.0,600.0,0.0,600.0,1200.0,0.0,1200.0,3.0,0.0,3.0,3.0,0.0,3.0,6.0,0.0,6.0,0.28061322565857466,0.0,0.28061322565857466,0.33284164847625614,0.0,0.33284164847625614,0.30001430864824263,0.0,0.30001430864824263,0.30001430864824263,0.0,0.30001430864824263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,Prisoners Dilemma,paper,integrated_model,S1_013_Prisoners_Dilemma_fixed-tit_for_tat__hybrid-neutral-neutral,fixed-tit_for_tat__vs__hybrid-neutral-neutral,fixed_strategy,emotional_rational,neutral,neutral,tit_for_tat,neutral,neutral,,20,600.0,0.0,600.0,600.0,0.0,600.0,1200.0,0.0,1200.0,3.0,0.0,3.0,3.0,0.0,3.0,6.0,0.0,6.0,0.33284164847625614,0.0,0.33284164847625614,0.28061322565857466,0.0,0.28061322565857466,0.30001430864824263,0.0,0.30001430864824263,0.30001430864824263,0.0,0.30001430864824263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,Prisoners Dilemma,paper,integrated_model,S1_014_Prisoners_Dilemma_fixed-tit_for_tat__rational,fixed-tit_for_tat__vs__rational,fixed_strategy,rational,neutral,neutral,tit_for_tat,neutral,neutral,,20,199.0,0.0,199.0,204.0,0.0,204.0,403.0,0.0,403.0,0.995,0.0,0.995,1.02,0.0,1.02,2.015,0.0,2.015,0.11852143047322745,0.0,0.11852143047322745,0.11850965245892442,0.0,0.11850965245892442,0.10001633955258131,0.0,0.10001633955258131,0.10001381154443897,0.0,0.10001381154443897,0.025,0.0,0.025,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.995,0.0,0.995,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,Prisoners Dilemma,paper,integrated_model,S1_015_Prisoners_Dilemma_fixed-tit_for_tat__emotional-neutral-neutral,fixed-tit_for_tat__vs__emotional-neutral-neutral,fixed_strategy,emotional,neutral,neutral,tit_for_tat,neutral,neutral,,20,600.0,0.0,600.0,600.0,0.0,600.0,1200.0,0.0,1200.0,3.0,0.0,3.0,3.0,0.0,3.0,6.0,0.0,6.0,0.33284164847625614,0.0,0.33284164847625614,0.28061322565857466,0.0,0.28061322565857466,0.30001430864824263,0.0,0.30001430864824263,0.30001430864824263,0.0,0.30001430864824263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,Prisoners Dilemma,paper,integrated_model,S1_016_Prisoners_Dilemma_fixed-tit_for_tat__fixed-tit_for_tat,fixed-tit_for_tat__vs__fixed-tit_for_tat,fixed_strategy,fixed_strategy,neutral,neutral,tit_for_tat,neutral,neutral,tit_for_tat,20,600.0,0.0,600.0,600.0,0.0,600.0,1200.0,0.0,1200.0,3.0,0.0,3.0,3.0,0.0,3.0,6.0,0.0,6.0,0.33284164847625614,0.0,0.33284164847625614,0.33284164847625614,0.0,0.33284164847625614,0.30001430864824263,0.0,0.30001430864824263,0.30001430864824263,0.0,0.30001430864824263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,Battle of Sexes,paper,integrated_model,S1_017_Battle_of_Sexes_hybrid-neutral-neutral__hybrid-neutral-neutral,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,emotional_rational,emotional_rational,neutral,neutral,,neutral,neutral,,20,151.1,92.64820559514361,188.0,124.4,76.08245527058128,154.0,275.5,160.06170685082677,385.0,0.7555000000000001,0.4632410279757181,0.9400000000000001,0.622,0.38041227635290636,0.77,1.3775,0.8003085342541337,1.925,-0.8230553006326206,0.2417960181568129,-0.7026742918620098,-0.8801997807870447,0.2283676102901295,-0.8484087833863497,-0.9255813993981106,0.35102342741689885,-0.9801489692866948,-0.9609110452133468,0.3612019516284003,-1.0441609695340721,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.2755,0.16006170685082677,0.385,0.8615873015873016,0.36367209792583177,1.0,1.1,0.99498743710662,1.0,0.7217261904761905,0.42940096223251895,1.0,0.27827380952380953,0.42940096223251895,0.0,,,,,,,,,,,,,,,
S1,Battle of Sexes,paper,integrated_model,S1_018_Battle_of_Sexes_hybrid-neutral-neutral__rational,hybrid-neutral-neutral__vs__rational,emotional_rational,rational,neutral,neutral,,neutral,neutral,,20,35.0,62.21736092120912,0.0,52.5,93.32604138181368,0.0,87.5,155.54340230302282,0.0,0.175,0.3110868046060456,0.0,0.2625,0.4666302069090684,0.0,0.4375,0.7777170115151141,0.0,-0.7596275226015693,0.1238797273592378,-0.6756312468649582,-0.5088158978137224,0.09382614044622684,-0.46162320799299755,-0.5296121896886762,0.320525864078282,-0.333347717349577,-0.45049399365126414,0.2307408476908468,-0.333347717349577,1.0,0.0,1.0,0.9924999999999999,0.012990381056766592,1.0,,,,,,,,,,,,,,,,,,,0.0875,0.1555434023030228,0.0,0.25,0.4330127018922193,0.0,0.25,0.4330127018922193,0.0,0.25,0.4330127018922193,0.0,0.75,0.4330127018922193,1.0,,,,,,,,,,,,,,,
S1,Battle of Sexes,paper,integrated_model,S1_019_Battle_of_Sexes_hybrid-neutral-neutral__emotional-neutral-neutral,hybrid-neutral-neutral__vs__emotional-neutral-neutral,emotional_rational,emotional,neutral,neutral,,neutral,neutral,,20,409.45,252.56295749772966,594.0,291.3,155.81530733531926,396.0,700.75,405.13662818856557,990.0,2.04725,1.2628147874886484,2.9699999999999998,1.4565,0.7790765366765964,1.98,3.50375,2.0256831409428275,4.949999999999999,0.18595242173270868,0.6932042308536134,0.6441443297081595,0.1864714235685062,0.6410539586205143,0.6822334424321421,0.2267464091651738,0.737878806904927,0.8333528899265487,0.14604224863426138,0.6302490003330272,0.6666851269061792,0.35375,0.4620386212212135,0.0025,0.3555,0.46156770900919836,0.0075,,,,,,,,,,,,,,,,,,,0.70075,0.40513662818856555,0.99,114.66640625,94.9081024884345,197.5,128.8,92.51734972425443,197.5,0.8276470588235294,0.360953658040191,1.0,0.1723529411764706,0.360953658040191,0.0,,,,,,,,,,,,,,,
S1,Battle of Sexes,paper,integrated_model,S1_020_Battle_of_Sexes_hybrid-neutral-neutral__fixed-tit_for_tat,hybrid-neutral-neutral__vs__fixed-tit_for_tat,emotional_rational,fixed_strategy,neutral,neutral,,neutral,neutral,tit_for_tat,20,600.0,0.0,600.0,400.0,0.0,400.0,1000.0,0.0,1000.0,3.0,0.0,3.0,2.0,0.0,2.0,5.0,0.0,5.0,0.7424153008332824,0.06249851144725286,0.7817289817985281,0.7693205844218222,0.0,0.7693205844218222,0.8333528899265487,0.0,0.8333528899265487,0.6666851269061792,0.0,0.6666851269061792,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,200.0,0.0,200.0,200.0,0.0,200.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
S1,Battle of Sexes,paper,integrated_model,S1_021_Battle_of_Sexes_rational__hybrid-neutral-neutral,rational__vs__hybrid-neutral-neutral,rational,emotional_rational,neutral,neutral,,neutral,neutral,,20,137.25,106.26470486478566,225.0,91.5,70.84313657652378,150.0,228.75,177.10784144130943,375.0,0.68625,0.5313235243239283,1.125,0.4575,0.35421568288261884,0.75,1.14375,0.8855392072065471,1.875,-0.6217546175346007,0.2030744541698905,-0.6025590721562925,-0.8621164644943715,0.19939195203242954,-0.8484087833863497,-0.7957344159050153,0.38176135299393366,-0.9801489692866948,-0.8727450384824675,0.41321246787952837,-1.0991333709543145,0.98525,0.01444602021319368,0.9875,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.22875,0.17710784144130942,0.375,0.7,0.458257569495584,1.0,0.7,0.458257569495584,1.0,0.7,0.458257569495584,1.0,0.3,0.458257569495584,0.0,,,,,,,,,,,,,,,
S1,Battle of Sexes,paper,integrated_model,S1_022_Battle_of_Sexes_rational__rational,rational__vs__rational,rational,rational,neutral,neutral,,neutral,neutral,,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46162320799299755,0.0,-0.46162320799299755,-0.46162320799299755,0.0,-0.46162320799299755,-0.333347717349577,0.0,-0.333347717349577,-0.333347717349577,0.0,-0.333347717349577,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
