scenario_name,model_mode,conditions_n,norm_pair_payoff_mean,pair_state_mean,mean_negative_state_share,mode_label
S1,integrated_model,48,0.7899965277777778,0.24035794158989857,0.21271354166666667,Integrated
S1,reported_runs_compat,48,0.7553559027777778,-0.15440959056194076,0.4708098958333333,Diagnostic-control
S2,integrated_model,27,0.6807932098765432,0.23205372479006106,0.25299074074074074,Integrated
S2,reported_runs_compat,27,0.6660709876543209,-0.22468843115024656,0.5407916666666667,Diagnostic-control
S3,integrated_model,27,0.7909259259259259,0.10760133850978594,0.2765740740740741,Integrated
S3,reported_runs_compat,27,0.7802777777777777,-0.04382449441153927,0.32833333333333337,Diagnostic-control
S4,integrated_model,12,0.5589583333333333,0.00034557756651089805,0.4713020833333333,Integrated
S4,reported_runs_compat,12,0.5195,-0.36441159391500505,0.6124895833333334,Diagnostic-control
