model_mode,profile,intensity,fixed_partner,condition_label,pair_total_payoff_mean,agent_1_mean_overall_state,agent_1_negative_state_share,main_game_metric
integrated_model,neutral,high,tit_for_tat,hybrid-neutral-high__vs__fixed-tit_for_tat,1200.0,0.2400586693786581,0.12,1.0
integrated_model,pessimistic,low,always_cooperate,hybrid-pessimistic-low__vs__fixed-always_cooperate,1200.0,0.2819001257930614,0.0,1.0
integrated_model,pessimistic,low,always_defect,hybrid-pessimistic-low__vs__fixed-always_defect,469.0,-0.3095795277080467,1.0,0.0
integrated_model,pessimistic,low,tit_for_tat,hybrid-pessimistic-low__vs__fixed-tit_for_tat,1200.0,0.2819001257930614,0.0,1.0
integrated_model,pessimistic,neutral,always_cooperate,hybrid-pessimistic-neutral__vs__fixed-always_cooperate,1200.0,0.2806132256585746,0.0,1.0
integrated_model,pessimistic,neutral,always_defect,hybrid-pessimistic-neutral__vs__fixed-always_defect,442.0,-0.3885478976043458,1.0,0.0
integrated_model,pessimistic,neutral,tit_for_tat,hybrid-pessimistic-neutral__vs__fixed-tit_for_tat,1200.0,0.2806132256585746,0.0,1.0
integrated_model,pessimistic,high,always_cooperate,hybrid-pessimistic-high__vs__fixed-always_cooperate,1200.0,0.2400586693786581,0.12,1.0
integrated_model,pessimistic,high,always_defect,hybrid-pessimistic-high__vs__fixed-always_defect,439.0,-0.4384735376427307,1.0,0.0
integrated_model,pessimistic,high,tit_for_tat,hybrid-pessimistic-high__vs__fixed-tit_for_tat,1200.0,0.2400586693786581,0.12,1.0
