scenario_name,game_name,run_profile,model_mode,condition_id,condition_label,agent_1_type,agent_2_type,personality_1,intensity_1,fixed_strategy_1,personality_2,intensity_2,fixed_strategy_2,episodes_n,total_payoff_1_mean,total_payoff_1_std,total_payoff_1_median,total_payoff_2_mean,total_payoff_2_std,total_payoff_2_median,pair_total_payoff_mean,pair_total_payoff_std,pair_total_payoff_median,avg_payoff_1_mean,avg_payoff_1_std,avg_payoff_1_median,avg_payoff_2_mean,avg_payoff_2_std,avg_payoff_2_median,avg_pair_payoff_mean,avg_pair_payoff_std,avg_pair_payoff_median,mean_overall_state_1_mean,mean_overall_state_1_std,mean_overall_state_1_median,mean_overall_state_2_mean,mean_overall_state_2_std,mean_overall_state_2_median,final_overall_state_1_mean,final_overall_state_1_std,final_overall_state_1_median,final_overall_state_2_mean,final_overall_state_2_std,final_overall_state_2_median,negative_state_share_1_mean,negative_state_share_1_std,negative_state_share_1_median,negative_state_share_2_mean,negative_state_share_2_std,negative_state_share_2_median,pd_cooperation_rate_1_mean,pd_cooperation_rate_1_std,pd_cooperation_rate_1_median,pd_cooperation_rate_2_mean,pd_cooperation_rate_2_std,pd_cooperation_rate_2_median,pd_mutual_cooperation_rate_mean,pd_mutual_cooperation_rate_std,pd_mutual_cooperation_rate_median,pd_unilateral_exploitation_rate_mean,pd_unilateral_exploitation_rate_std,pd_unilateral_exploitation_rate_median,pd_mutual_defection_rate_mean,pd_mutual_defection_rate_std,pd_mutual_defection_rate_median,pd_recovery_after_defection_proxy_mean,pd_recovery_after_defection_proxy_std,pd_recovery_after_defection_proxy_median,bos_agreement_rate_mean,bos_agreement_rate_std,bos_agreement_rate_median,bos_coordination_streak_mean_mean,bos_coordination_streak_mean_std,bos_coordination_streak_mean_median,bos_coordination_streak_max_mean,bos_coordination_streak_max_std,bos_coordination_streak_max_median,bos_coordination_imbalance_mean,bos_coordination_imbalance_std,bos_coordination_imbalance_median,bos_fair_turn_taking_index_mean,bos_fair_turn_taking_index_std,bos_fair_turn_taking_index_median,ug_acceptance_rate_mean,ug_acceptance_rate_std,ug_acceptance_rate_median,ug_mean_offer_mean,ug_mean_offer_std,ug_mean_offer_median,ug_offer_std_mean,ug_offer_std_std,ug_offer_std_median,ug_fair_offer_rate_mean,ug_fair_offer_rate_std,ug_fair_offer_rate_median,ug_proposer_responder_inequality_mean,ug_proposer_responder_inequality_std,ug_proposer_responder_inequality_median,official_run_dir,pair_state_mean,mean_negative_state_share
S1,Prisoners Dilemma,paper,reported_runs_compat,S1_001_Prisoners_Dilemma_hybrid-neutral-neutral__hybrid-neutral-neutral,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,emotional_rational,emotional_rational,neutral,neutral,,neutral,neutral,,20,600.0,0.0,600.0,600.0,0.0,600.0,1200.0,0.0,1200.0,3.0,0.0,3.0,3.0,0.0,3.0,6.0,0.0,6.0,0.2405972911312445,0.0,0.2405972911312445,0.2405972911312445,0.0,0.2405972911312445,0.2583324536436819,0.0,0.2583324536436819,0.2583324536436819,0.0,0.2583324536436819,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260521_163020_paper_S1_reported_runs_compat,0.2405972911312445,0.0
S1,Prisoners Dilemma,paper,reported_runs_compat,S1_002_Prisoners_Dilemma_hybrid-neutral-neutral__rational,hybrid-neutral-neutral__vs__rational,emotional_rational,rational,neutral,neutral,,neutral,neutral,,20,197.0,0.0,197.0,212.0,0.0,212.0,409.0,0.0,409.0,0.985,0.0,0.985,1.06,0.0,1.06,2.045,0.0,2.045,-0.6291093923079399,0.0,-0.6291093923079399,-0.5962267386862736,0.0,-0.5962267386862736,-0.6499999999999994,0.0,-0.6499999999999994,-0.6499999999999969,0.0,-0.6499999999999969,1.0,0.0,1.0,0.97,0.0,0.97,0.015,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.015,0.985,0.0,0.985,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260521_163020_paper_S1_reported_runs_compat,-0.6126680654971068,0.985
S1,Prisoners Dilemma,paper,reported_runs_compat,S1_003_Prisoners_Dilemma_hybrid-neutral-neutral__emotional-neutral-neutral,hybrid-neutral-neutral__vs__emotional-neutral-neutral,emotional_rational,emotional,neutral,neutral,,neutral,neutral,,20,600.0,0.0,600.0,600.0,0.0,600.0,1200.0,0.0,1200.0,3.0,0.0,3.0,3.0,0.0,3.0,6.0,0.0,6.0,0.2405972911312445,0.0,0.2405972911312445,0.2405972911312445,0.0,0.2405972911312445,0.2583324536436819,0.0,0.2583324536436819,0.2583324536436819,0.0,0.2583324536436819,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260521_163020_paper_S1_reported_runs_compat,0.2405972911312445,0.0
S1,Prisoners Dilemma,paper,reported_runs_compat,S1_004_Prisoners_Dilemma_hybrid-neutral-neutral__fixed-tit_for_tat,hybrid-neutral-neutral__vs__fixed-tit_for_tat,emotional_rational,fixed_strategy,neutral,neutral,,neutral,neutral,tit_for_tat,20,600.0,0.0,600.0,600.0,0.0,600.0,1200.0,0.0,1200.0,3.0,0.0,3.0,3.0,0.0,3.0,6.0,0.0,6.0,0.2405972911312445,0.0,0.2405972911312445,0.2405972911312445,0.0,0.2405972911312445,0.2583324536436819,0.0,0.2583324536436819,0.2583324536436819,0.0,0.2583324536436819,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260521_163020_paper_S1_reported_runs_compat,0.2405972911312445,0.0
S1,Prisoners Dilemma,paper,reported_runs_compat,S1_005_Prisoners_Dilemma_rational__hybrid-neutral-neutral,rational__vs__hybrid-neutral-neutral,rational,emotional_rational,neutral,neutral,,neutral,neutral,,20,212.0,0.0,212.0,197.0,0.0,197.0,409.0,0.0,409.0,1.06,0.0,1.06,0.985,0.0,0.985,2.045,0.0,2.045,-0.5962267386862736,0.0,-0.5962267386862736,-0.6291093923079399,0.0,-0.6291093923079399,-0.6499999999999969,0.0,-0.6499999999999969,-0.6499999999999994,0.0,-0.6499999999999994,0.97,0.0,0.97,1.0,0.0,1.0,0.0,0.0,0.0,0.015,0.0,0.015,0.0,0.0,0.0,0.015,0.0,0.015,0.985,0.0,0.985,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260521_163020_paper_S1_reported_runs_compat,-0.6126680654971068,0.985
S1,Prisoners Dilemma,paper,reported_runs_compat,S1_006_Prisoners_Dilemma_rational__rational,rational__vs__rational,rational,rational,neutral,neutral,,neutral,neutral,,20,200.0,0.0,200.0,200.0,0.0,200.0,400.0,0.0,400.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,-0.6228399686098542,0.0,-0.6228399686098542,-0.6228399686098542,0.0,-0.6228399686098542,-0.6499999999999989,0.0,-0.6499999999999989,-0.6499999999999989,0.0,-0.6499999999999989,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260521_163020_paper_S1_reported_runs_compat,-0.6228399686098542,1.0
S1,Prisoners Dilemma,paper,reported_runs_compat,S1_007_Prisoners_Dilemma_rational__emotional-neutral-neutral,rational__vs__emotional-neutral-neutral,rational,emotional,neutral,neutral,,neutral,neutral,,20,220.0,0.0,220.0,195.0,0.0,195.0,415.0,0.0,415.0,1.1,0.0,1.1,0.975,0.0,0.975,2.075,0.0,2.075,-0.5780051793583433,0.0,-0.5780051793583433,-0.6329571129609495,0.0,-0.6329571129609495,-0.649999999999995,0.0,-0.649999999999995,-0.6499999999999998,0.0,-0.6499999999999998,0.95,0.0,0.95,1.0,0.0,1.0,0.0,0.0,0.0,0.025,0.0,0.025,0.0,0.0,0.0,0.025,0.0,0.025,0.975,0.0,0.975,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260521_163020_paper_S1_reported_runs_compat,-0.6054811461596463,0.975
S1,Prisoners Dilemma,paper,reported_runs_compat,S1_008_Prisoners_Dilemma_rational__fixed-tit_for_tat,rational__vs__fixed-tit_for_tat,rational,fixed_strategy,neutral,neutral,,neutral,neutral,tit_for_tat,20,204.0,0.0,204.0,199.0,0.0,199.0,403.0,0.0,403.0,1.02,0.0,1.02,0.995,0.0,0.995,2.015,0.0,2.015,-0.6140897775425893,0.0,-0.6140897775425893,-0.6249801626854559,0.0,-0.6249801626854559,-0.6499999999999984,0.0,-0.6499999999999984,-0.649999999999999,0.0,-0.649999999999999,0.99,0.0,0.99,1.0,0.0,1.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.005,0.995,0.0,0.995,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260521_163020_paper_S1_reported_runs_compat,-0.6195349701140226,0.995
S1,Prisoners Dilemma,paper,reported_runs_compat,S1_009_Prisoners_Dilemma_emotional-neutral-neutral__hybrid-neutral-neutral,emotional-neutral-neutral__vs__hybrid-neutral-neutral,emotional,emotional_rational,neutral,neutral,,neutral,neutral,,20,600.0,0.0,600.0,600.0,0.0,600.0,1200.0,0.0,1200.0,3.0,0.0,3.0,3.0,0.0,3.0,6.0,0.0,6.0,0.2405972911312445,0.0,0.2405972911312445,0.2405972911312445,0.0,0.2405972911312445,0.2583324536436819,0.0,0.2583324536436819,0.2583324536436819,0.0,0.2583324536436819,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260521_163020_paper_S1_reported_runs_compat,0.2405972911312445,0.0
S1,Prisoners Dilemma,paper,reported_runs_compat,S1_010_Prisoners_Dilemma_emotional-neutral-neutral__rational,emotional-neutral-neutral__vs__rational,emotional,rational,neutral,neutral,,neutral,neutral,,20,195.0,0.0,195.0,220.0,0.0,220.0,415.0,0.0,415.0,0.975,0.0,0.975,1.1,0.0,1.1,2.075,0.0,2.075,-0.6329571129609495,0.0,-0.6329571129609495,-0.5780051793583433,0.0,-0.5780051793583433,-0.6499999999999998,0.0,-0.6499999999999998,-0.649999999999995,0.0,-0.649999999999995,1.0,0.0,1.0,0.95,0.0,0.95,0.025,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.025,0.975,0.0,0.975,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20260521_163020_paper_S1_reported_runs_compat,-0.6054811461596463,0.975
