scenario_name,model_mode,conditions_n,pair_total_payoff_mean,pair_total_payoff_median,pair_state_mean,pair_state_median,mean_negative_state_share,min_pair_state,max_pair_state
S1,integrated_model,48,1172.5520833333333,1200.0,0.24035794158989862,0.3197845427718357,0.21271354166666667,-0.8516275407098326,0.8348235647403155
S1,reported_runs_compat,48,1136.0989583333333,1200.0,-0.15440959056194078,-9.71445146547012e-17,0.4708098958333333,-0.7323522749348269,0.2405972911312445
S2,integrated_model,27,950.4722222222222,1000.0,0.23205372479006112,0.30672743706741534,0.25299074074074074,-0.7535622703880751,0.8348235647403155
S2,reported_runs_compat,27,934.1388888888889,1000.0,-0.22468843115024656,-9.71445146547012e-17,0.5407916666666667,-0.7323522749348269,0.2405972911312445
S3,integrated_model,27,949.1111111111111,1200.0,0.10760133850978597,0.28645015892745707,0.2765740740740741,-0.3243053990975623,0.30737088713465877
S3,reported_runs_compat,27,936.3333333333334,1200.0,-0.04382449441153927,0.2405972911312445,0.32833333333333337,-0.6126680654971068,0.2405972911312445
S4,integrated_model,12,846.8333333333334,542.5,0.00034557756651088883,-0.10300655552938788,0.4713020833333334,-0.7535622703880751,0.7558679426275523
S4,reported_runs_compat,12,803.2916666666666,412.0,-0.36441159391500505,-0.5955717311563056,0.6124895833333334,-0.7323522749348269,0.2405972911312445
