scenario_name,game_name,condition_label,mean_negative_state_share_integrated_model,mean_negative_state_share_reported_runs_compat,pair_state_mean_integrated_model,pair_state_mean_reported_runs_compat,pair_total_payoff_mean_integrated_model,pair_total_payoff_mean_reported_runs_compat,delta_pair_state_integrated_minus_reported,delta_payoff_integrated_minus_reported,delta_negative_share_integrated_minus_reported
S1,Ultimatum Game,emotional-neutral-neutral__vs__emotional-neutral-neutral,0.0,0.0,0.5369992691447881,0.0,2000.0,2000.0,0.5369992691447881,0.0,0.0
S1,Ultimatum Game,emotional-neutral-neutral__vs__fixed-tit_for_tat,0.0,0.0,0.571125699345155,0.0,2000.0,2000.0,0.571125699345155,0.0,0.0
S1,Ultimatum Game,emotional-neutral-neutral__vs__hybrid-neutral-neutral,0.0,0.0,0.5369992691447881,0.0,2000.0,2000.0,0.5369992691447881,0.0,0.0
S1,Ultimatum Game,emotional-neutral-neutral__vs__rational,0.0,0.0,0.571125699345155,0.0,2000.0,2000.0,0.571125699345155,0.0,0.0
S1,Ultimatum Game,fixed-tit_for_tat__vs__emotional-neutral-neutral,0.0,0.5,0.4800374375604009,-9.71445146547012e-17,2000.0,2000.0,0.480037437560401,0.0,-0.5
S1,Ultimatum Game,fixed-tit_for_tat__vs__fixed-tit_for_tat,0.0,0.5,0.4830439405083641,-9.71445146547012e-17,2000.0,2000.0,0.4830439405083642,0.0,-0.5
S1,Ultimatum Game,fixed-tit_for_tat__vs__hybrid-neutral-neutral,0.0,0.5,0.4800374375604009,-9.71445146547012e-17,2000.0,2000.0,0.480037437560401,0.0,-0.5
S1,Ultimatum Game,fixed-tit_for_tat__vs__rational,0.0,0.5,0.4830439405083641,-9.71445146547012e-17,2000.0,2000.0,0.4830439405083642,0.0,-0.5
S1,Ultimatum Game,hybrid-neutral-neutral__vs__emotional-neutral-neutral,0.0,0.0,0.5369992691447881,0.0,2000.0,2000.0,0.5369992691447881,0.0,0.0
S1,Ultimatum Game,hybrid-neutral-neutral__vs__fixed-tit_for_tat,0.0,0.0,0.571125699345155,0.0,2000.0,2000.0,0.571125699345155,0.0,0.0
S1,Ultimatum Game,hybrid-neutral-neutral__vs__hybrid-neutral-neutral,0.0,0.0,0.5369992691447881,0.0,2000.0,2000.0,0.5369992691447881,0.0,0.0
S1,Ultimatum Game,hybrid-neutral-neutral__vs__rational,0.0,0.0,0.571125699345155,0.0,2000.0,2000.0,0.571125699345155,0.0,0.0
S1,Ultimatum Game,rational__vs__emotional-neutral-neutral,0.0,0.5,0.4800374375604009,-9.71445146547012e-17,2000.0,2000.0,0.480037437560401,0.0,-0.5
S1,Ultimatum Game,rational__vs__fixed-tit_for_tat,0.0,0.5,0.4830439405083641,-9.71445146547012e-17,2000.0,2000.0,0.4830439405083642,0.0,-0.5
S1,Ultimatum Game,rational__vs__hybrid-neutral-neutral,0.0,0.5,0.4800374375604009,-9.71445146547012e-17,2000.0,2000.0,0.480037437560401,0.0,-0.5
S1,Ultimatum Game,rational__vs__rational,0.0,0.5,0.4830439405083641,-9.71445146547012e-17,2000.0,2000.0,0.4830439405083642,0.0,-0.5
