scenario_name,game_name,run_profile,model_mode,condition_id,condition_label,agent_1_type,agent_2_type,personality_1,intensity_1,fixed_strategy_1,personality_2,intensity_2,fixed_strategy_2,episodes_n,total_payoff_1_mean,total_payoff_1_std,total_payoff_1_median,total_payoff_2_mean,total_payoff_2_std,total_payoff_2_median,pair_total_payoff_mean,pair_total_payoff_std,pair_total_payoff_median,avg_payoff_1_mean,avg_payoff_1_std,avg_payoff_1_median,avg_payoff_2_mean,avg_payoff_2_std,avg_payoff_2_median,avg_pair_payoff_mean,avg_pair_payoff_std,avg_pair_payoff_median,mean_overall_state_1_mean,mean_overall_state_1_std,mean_overall_state_1_median,mean_overall_state_2_mean,mean_overall_state_2_std,mean_overall_state_2_median,final_overall_state_1_mean,final_overall_state_1_std,final_overall_state_1_median,final_overall_state_2_mean,final_overall_state_2_std,final_overall_state_2_median,negative_state_share_1_mean,negative_state_share_1_std,negative_state_share_1_median,negative_state_share_2_mean,negative_state_share_2_std,negative_state_share_2_median,pd_cooperation_rate_1_mean,pd_cooperation_rate_1_std,pd_cooperation_rate_1_median,pd_cooperation_rate_2_mean,pd_cooperation_rate_2_std,pd_cooperation_rate_2_median,pd_mutual_cooperation_rate_mean,pd_mutual_cooperation_rate_std,pd_mutual_cooperation_rate_median,pd_unilateral_exploitation_rate_mean,pd_unilateral_exploitation_rate_std,pd_unilateral_exploitation_rate_median,pd_mutual_defection_rate_mean,pd_mutual_defection_rate_std,pd_mutual_defection_rate_median,pd_recovery_after_defection_proxy_mean,pd_recovery_after_defection_proxy_std,pd_recovery_after_defection_proxy_median,bos_agreement_rate_mean,bos_agreement_rate_std,bos_agreement_rate_median,bos_coordination_streak_mean_mean,bos_coordination_streak_mean_std,bos_coordination_streak_mean_median,bos_coordination_streak_max_mean,bos_coordination_streak_max_std,bos_coordination_streak_max_median,bos_coordination_imbalance_mean,bos_coordination_imbalance_std,bos_coordination_imbalance_median,bos_fair_turn_taking_index_mean,bos_fair_turn_taking_index_std,bos_fair_turn_taking_index_median,ug_acceptance_rate_mean,ug_acceptance_rate_std,ug_acceptance_rate_median,ug_mean_offer_mean,ug_mean_offer_std,ug_mean_offer_median,ug_offer_std_mean,ug_offer_std_std,ug_offer_std_median,ug_fair_offer_rate_mean,ug_fair_offer_rate_std,ug_fair_offer_rate_median,ug_proposer_responder_inequality_mean,ug_proposer_responder_inequality_std,ug_proposer_responder_inequality_median
S2,Prisoners Dilemma,paper,integrated_model,S2_001_Prisoners_Dilemma_emotional_rational_vs_always_cooperate,hybrid-neutral-neutral__vs__fixed-always_cooperate,emotional_rational,fixed_strategy,neutral,neutral,,neutral,neutral,always_cooperate,20,600.0,0.0,600.0,600.0,0.0,600.0,1200.0,0.0,1200.0,3.0,0.0,3.0,3.0,0.0,3.0,6.0,0.0,6.0,0.28061322565857466,0.0,0.28061322565857466,0.33284164847625614,0.0,0.33284164847625614,0.30001430864824263,0.0,0.30001430864824263,0.30001430864824263,0.0,0.30001430864824263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,Prisoners Dilemma,paper,integrated_model,S2_002_Prisoners_Dilemma_emotional_rational_vs_always_defect,hybrid-neutral-neutral__vs__fixed-always_defect,emotional_rational,fixed_strategy,neutral,neutral,,neutral,neutral,always_defect,20,186.0,0.0,186.0,256.0,0.0,256.0,442.0,0.0,442.0,0.93,0.0,0.93,1.28,0.0,1.28,2.21,0.0,2.21,-0.3885478976043458,0.0,-0.3885478976043458,-0.13025232937955775,0.0,-0.13025232937955775,-0.14991704604569261,0.0,-0.14991704604569261,0.06141168823189979,0.0,0.06141168823189979,1.0,0.0,1.0,0.495,0.0,0.495,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.93,0.0,0.93,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,Prisoners Dilemma,paper,integrated_model,S2_003_Prisoners_Dilemma_emotional_rational_vs_tit_for_tat,hybrid-neutral-neutral__vs__fixed-tit_for_tat,emotional_rational,fixed_strategy,neutral,neutral,,neutral,neutral,tit_for_tat,20,600.0,0.0,600.0,600.0,0.0,600.0,1200.0,0.0,1200.0,3.0,0.0,3.0,3.0,0.0,3.0,6.0,0.0,6.0,0.28061322565857466,0.0,0.28061322565857466,0.33284164847625614,0.0,0.33284164847625614,0.30001430864824263,0.0,0.30001430864824263,0.30001430864824263,0.0,0.30001430864824263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,Prisoners Dilemma,paper,integrated_model,S2_004_Prisoners_Dilemma_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,emotional,fixed_strategy,neutral,neutral,,neutral,neutral,always_cooperate,20,600.0,0.0,600.0,600.0,0.0,600.0,1200.0,0.0,1200.0,3.0,0.0,3.0,3.0,0.0,3.0,6.0,0.0,6.0,0.28061322565857466,0.0,0.28061322565857466,0.33284164847625614,0.0,0.33284164847625614,0.30001430864824263,0.0,0.30001430864824263,0.30001430864824263,0.0,0.30001430864824263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,Prisoners Dilemma,paper,integrated_model,S2_005_Prisoners_Dilemma_emotional_vs_always_defect,emotional-neutral-neutral__vs__fixed-always_defect,emotional,fixed_strategy,neutral,neutral,,neutral,neutral,always_defect,20,119.0,0.0,119.0,524.0,0.0,524.0,643.0,0.0,643.0,0.595,0.0,0.595,2.62,0.0,2.62,3.215,0.0,3.215,-1.0426321615990903,0.0,-1.0426321615990903,-0.4644923791770598,0.0,-0.4644923791770598,-1.2437343868977428,0.0,-1.2437343868977428,-0.6735533175467644,0.0,-0.6735533175467644,1.0,0.0,1.0,0.825,0.0,0.825,0.405,0.0,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.405,0.0,0.405,0.595,0.0,0.595,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,Prisoners Dilemma,paper,integrated_model,S2_006_Prisoners_Dilemma_emotional_vs_tit_for_tat,emotional-neutral-neutral__vs__fixed-tit_for_tat,emotional,fixed_strategy,neutral,neutral,,neutral,neutral,tit_for_tat,20,600.0,0.0,600.0,600.0,0.0,600.0,1200.0,0.0,1200.0,3.0,0.0,3.0,3.0,0.0,3.0,6.0,0.0,6.0,0.28061322565857466,0.0,0.28061322565857466,0.33284164847625614,0.0,0.33284164847625614,0.30001430864824263,0.0,0.30001430864824263,0.30001430864824263,0.0,0.30001430864824263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,Prisoners Dilemma,paper,integrated_model,S2_007_Prisoners_Dilemma_rational_vs_always_cooperate,rational__vs__fixed-always_cooperate,rational,fixed_strategy,neutral,neutral,,neutral,neutral,always_cooperate,20,1000.0,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,1000.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.49858533238934266,0.0,0.49858533238934266,-0.910371174830786,0.0,-0.910371174830786,0.5000184602373121,0.0,0.5000184602373121,-0.7500195565921423,0.0,-0.7500195565921423,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,Prisoners Dilemma,paper,integrated_model,S2_008_Prisoners_Dilemma_rational_vs_always_defect,rational__vs__fixed-always_defect,rational,fixed_strategy,neutral,neutral,,neutral,neutral,always_defect,20,200.0,0.0,200.0,200.0,0.0,200.0,400.0,0.0,400.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.12327453469561324,0.0,0.12327453469561324,0.12327453469561324,0.0,0.12327453469561324,0.10001383652915889,0.0,0.10001383652915889,0.10001383652915889,0.0,0.10001383652915889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,Prisoners Dilemma,paper,integrated_model,S2_009_Prisoners_Dilemma_rational_vs_tit_for_tat,rational__vs__fixed-tit_for_tat,rational,fixed_strategy,neutral,neutral,,neutral,neutral,tit_for_tat,20,204.0,0.0,204.0,199.0,0.0,199.0,403.0,0.0,403.0,1.02,0.0,1.02,0.995,0.0,0.995,2.015,0.0,2.015,0.11850965245892442,0.0,0.11850965245892442,0.11852143047322745,0.0,0.11852143047322745,0.10001381154443897,0.0,0.10001381154443897,0.10001633955258131,0.0,0.10001633955258131,0.0,0.0,0.0,0.025,0.0,0.025,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.005,0.995,0.0,0.995,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,Battle of Sexes,paper,integrated_model,S2_010_Battle_of_Sexes_emotional_rational_vs_always_cooperate,hybrid-neutral-neutral__vs__fixed-always_cooperate,emotional_rational,fixed_strategy,neutral,neutral,,neutral,neutral,always_cooperate,20,600.0,0.0,600.0,400.0,0.0,400.0,1000.0,0.0,1000.0,3.0,0.0,3.0,2.0,0.0,2.0,5.0,0.0,5.0,0.7424153008332824,0.06249851144725286,0.7817289817985281,0.7693205844218222,0.0,0.7693205844218222,0.8333528899265487,0.0,0.8333528899265487,0.6666851269061792,0.0,0.6666851269061792,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,200.0,0.0,200.0,200.0,0.0,200.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
S2,Battle of Sexes,paper,integrated_model,S2_011_Battle_of_Sexes_emotional_rational_vs_always_defect,hybrid-neutral-neutral__vs__fixed-always_defect,emotional_rational,fixed_strategy,neutral,neutral,,neutral,neutral,always_defect,20,35.0,62.21736092120912,0.0,52.5,93.32604138181368,0.0,87.5,155.54340230302282,0.0,0.175,0.3110868046060456,0.0,0.2625,0.4666302069090684,0.0,0.4375,0.7777170115151141,0.0,-0.7596275226015693,0.1238797273592378,-0.6756312468649582,-0.5088158978137224,0.09382614044622684,-0.46162320799299755,-0.5296121896886762,0.320525864078282,-0.333347717349577,-0.45049399365126414,0.2307408476908468,-0.333347717349577,1.0,0.0,1.0,0.9924999999999999,0.012990381056766592,1.0,,,,,,,,,,,,,,,,,,,0.0875,0.1555434023030228,0.0,0.25,0.4330127018922193,0.0,0.25,0.4330127018922193,0.0,0.25,0.4330127018922193,0.0,0.75,0.4330127018922193,1.0,,,,,,,,,,,,,,,
S2,Battle of Sexes,paper,integrated_model,S2_012_Battle_of_Sexes_emotional_rational_vs_tit_for_tat,hybrid-neutral-neutral__vs__fixed-tit_for_tat,emotional_rational,fixed_strategy,neutral,neutral,,neutral,neutral,tit_for_tat,20,600.0,0.0,600.0,400.0,0.0,400.0,1000.0,0.0,1000.0,3.0,0.0,3.0,2.0,0.0,2.0,5.0,0.0,5.0,0.7424153008332824,0.06249851144725286,0.7817289817985281,0.7693205844218222,0.0,0.7693205844218222,0.8333528899265487,0.0,0.8333528899265487,0.6666851269061792,0.0,0.6666851269061792,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,200.0,0.0,200.0,200.0,0.0,200.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
S2,Battle of Sexes,paper,integrated_model,S2_013_Battle_of_Sexes_emotional_vs_always_cooperate,emotional-neutral-neutral__vs__fixed-always_cooperate,emotional,fixed_strategy,neutral,neutral,,neutral,neutral,always_cooperate,20,405.75,245.2853185577971,589.5,270.5,163.52354570519807,393.0,676.25,408.80886426299514,982.5,2.02875,1.2264265927889855,2.9475,1.3525,0.8176177285259904,1.9649999999999999,3.38125,2.044044321314976,4.9125,0.034205423879542673,0.902118606908529,0.6959076679241006,0.14994914071996124,0.7741225515989713,0.7693205844218222,0.12209385642327374,0.9754944672844617,0.8333528899265487,0.07677671064849144,0.8161009448539898,0.6666851269061792,0.362,0.44703020032208113,0.005,0.3605,0.4468078446043668,0.0075,,,,,,,,,,,,,,,,,,,0.67625,0.4088088642629952,0.9824999999999999,98.96121112813529,93.80200153793564,65.91666666666667,117.35,90.58657461235633,177.0,0.9,0.3,1.0,0.1,0.3,0.0,,,,,,,,,,,,,,,
