scenario_name,condition_id,condition_label,game_name,run_profile,episode_id,random_seed,agent_1_type,agent_2_type,fixed_strategy_2,metric_name,first_third_metric,last_third_metric,delta_metric,first_third_payoff_1,last_third_payoff_1,delta_payoff_1,simple_adaptation_lag_proxy
S2,S2_002_Prisoners_Dilemma_emotional_rational_vs_always_defect,hybrid-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,22,20260431,emotional_rational,fixed_strategy,always_defect,cooperation_flag_1,0.18181818181818182,0.030303030303030304,-0.15151515151515152,54.0,64.0,10.0,1
S2,S2_002_Prisoners_Dilemma_emotional_rational_vs_always_defect,hybrid-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,23,20260432,emotional_rational,fixed_strategy,always_defect,cooperation_flag_1,0.18181818181818182,0.030303030303030304,-0.15151515151515152,54.0,64.0,10.0,1
S2,S2_002_Prisoners_Dilemma_emotional_rational_vs_always_defect,hybrid-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,24,20260433,emotional_rational,fixed_strategy,always_defect,cooperation_flag_1,0.18181818181818182,0.030303030303030304,-0.15151515151515152,54.0,64.0,10.0,1
S2,S2_002_Prisoners_Dilemma_emotional_rational_vs_always_defect,hybrid-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,25,20260434,emotional_rational,fixed_strategy,always_defect,cooperation_flag_1,0.18181818181818182,0.030303030303030304,-0.15151515151515152,54.0,64.0,10.0,1
S2,S2_002_Prisoners_Dilemma_emotional_rational_vs_always_defect,hybrid-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,26,20260435,emotional_rational,fixed_strategy,always_defect,cooperation_flag_1,0.18181818181818182,0.030303030303030304,-0.15151515151515152,54.0,64.0,10.0,1
S2,S2_002_Prisoners_Dilemma_emotional_rational_vs_always_defect,hybrid-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,27,20260436,emotional_rational,fixed_strategy,always_defect,cooperation_flag_1,0.18181818181818182,0.030303030303030304,-0.15151515151515152,54.0,64.0,10.0,1
S2,S2_002_Prisoners_Dilemma_emotional_rational_vs_always_defect,hybrid-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,28,20260437,emotional_rational,fixed_strategy,always_defect,cooperation_flag_1,0.18181818181818182,0.030303030303030304,-0.15151515151515152,54.0,64.0,10.0,1
S2,S2_002_Prisoners_Dilemma_emotional_rational_vs_always_defect,hybrid-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,29,20260438,emotional_rational,fixed_strategy,always_defect,cooperation_flag_1,0.18181818181818182,0.030303030303030304,-0.15151515151515152,54.0,64.0,10.0,1
S2,S2_002_Prisoners_Dilemma_emotional_rational_vs_always_defect,hybrid-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,30,20260439,emotional_rational,fixed_strategy,always_defect,cooperation_flag_1,0.18181818181818182,0.030303030303030304,-0.15151515151515152,54.0,64.0,10.0,1
S2,S2_002_Prisoners_Dilemma_emotional_rational_vs_always_defect,hybrid-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,31,20260440,emotional_rational,fixed_strategy,always_defect,cooperation_flag_1,0.18181818181818182,0.030303030303030304,-0.15151515151515152,54.0,64.0,10.0,1
S2,S2_002_Prisoners_Dilemma_emotional_rational_vs_always_defect,hybrid-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,32,20260441,emotional_rational,fixed_strategy,always_defect,cooperation_flag_1,0.18181818181818182,0.030303030303030304,-0.15151515151515152,54.0,64.0,10.0,1
S2,S2_002_Prisoners_Dilemma_emotional_rational_vs_always_defect,hybrid-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,33,20260442,emotional_rational,fixed_strategy,always_defect,cooperation_flag_1,0.18181818181818182,0.030303030303030304,-0.15151515151515152,54.0,64.0,10.0,1
S2,S2_002_Prisoners_Dilemma_emotional_rational_vs_always_defect,hybrid-neutral-neutral__vs__fixed-always_defect,Prisoners Dilemma,paper,34,20260443,emotional_rational,fixed_strategy,always_defect,cooperation_flag_1,0.18181818181818182,0.030303030303030304,-0.15151515151515152,54.0,64.0,10.0,1
